route_id,route_short_name,route_long_name,route_type
263,429c,Ruta 429c regreso,3
264,430,Ruta 430 ida,3
265,430,Ruta 430 regreso,3
266,431c,Ruta 431c ida,3
267,431c,Ruta 431c regreso,3
268,432n,Ruta 432n ida,3
269,432n,Ruta 432n regreso,3
270,435,Ruta 435 ida,3
271,435,Ruta 435 regreso,3
272,444,Ruta 444 ida,3
273,444,Ruta 444 regreso,3
274,445c,Ruta 445c ida,3
275,445c,Ruta 445c regreso,3
276,481,Ruta 481 ida,3
277,481,Ruta 481 regreso,3
278,486,Ruta 486 ida,3
279,501,Ruta 501 ida,3
280,501,Ruta 501 regreso,3
281,502,Ruta 502 ida,3
282,502,Ruta 502 regreso,3
283,502c,Ruta 502c ida,3
284,502c,Ruta 502c regreso,3
285,503,Ruta 503 ida,3
286,503,Ruta 503 regreso,3
287,504,Ruta 504 ida,3
288,504,Ruta 504 regreso,3
289,505,Ruta 505 ida,3
290,505,Ruta 505 regreso,3
291,506,Ruta 506 ida,3
292,506,Ruta 506 regreso,3
293,506e,Ruta 506e ida,3
294,506e,Ruta 506e regreso,3
295,506v,Ruta 506v ida,3
296,506v,Ruta 506v regreso,3
297,507,Ruta 507 ida,3
298,507,Ruta 507 regreso,3
299,507c,Ruta 507c ida,3
300,507c,Ruta 507c regreso,3
301,508,Ruta 508 ida,3
302,508,Ruta 508 regreso,3
303,509,Ruta 509 ida,3
304,509,Ruta 509 regreso,3
305,510,Ruta 510 ida,3
306,510,Ruta 510 regreso,3
307,511,Ruta 511 ida,3
308,511,Ruta 511 regreso,3
309,513,Ruta 513 ida,3
310,513,Ruta 513 regreso,3
311,514,Ruta 514 ida,3
312,514,Ruta 514 regreso,3
313,514c,Ruta 514c ida,3
314,514c,Ruta 514c regreso,3
315,516,Ruta 516 ida,3
316,516,Ruta 516 regreso,3
317,517,Ruta 517 ida,3
318,517,Ruta 517 regreso,3
319,518,Ruta 518 ida,3
320,518,Ruta 518 regreso,3
321,519,Ruta 519 ida,3
322,519,Ruta 519 regreso,3
323,541n,Ruta 541n ida,3
324,541n,Ruta 541n regreso,3
325,542,Ruta 542 ida,3
326,542,Ruta 542 regreso,3
327,546e,Ruta 546e ida,3
328,546e,Ruta 546e regreso,3
329,555,Ruta 555 ida,3
330,555,Ruta 555 regreso,3
331,712,Ruta 712 ida,3
332,712,Ruta 712 regreso,3
333,722,Ruta 722 ida,3
334,722,Ruta 722 regreso,3
335,B01,Ruta B01 ida,3
